Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Details,Invoice Details,Supplier Name,Supplier Part No,Supplier Price,Supplier 2 Name,Supplier 2 Part No,Supplier 2 Price,Supplier 3 Name,Supplier 3 Part No,Supplier 3 Price,Supplier 4 Name,Supplier 4 Part No,Supplier 4 Price,Supplier 5 Name,Supplier 5 Part No,Supplier 5 Price
Bok Bok Catnip,8858987309010,code128,,Food,pcs,pcs,pcs,0.73,1.75,,,,8858987309010.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bok Bok Matatabi,8858987309027,code128,,Food,pcs,pcs,pcs,0.73,1.75,,,,8858987309027.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dog n Joy Dentcare Banana,8859104006195,code128,,Food,pcs,pcs,pcs,0.92,1.5,,,,8859104006195.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dog n Joy Dentcare Apple,8859104006201,code128,,Food,pcs,pcs,pcs,0.92,1.5,,,,8859104006201.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dog n Joy Dentcare Carrot,8859104006218,code128,,Food,pcs,pcs,pcs,0.9,1.5,,,,8859104006218.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dog n Joy Dentcare Strawberry,8859104006225,code128,,Food,pcs,pcs,pcs,0.9,1.5,,,,8859104006225.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petosan Cat Litter Apple,8859104500037,code128,,Shampoo,pcs,pcs,pcs,2.6,4.85,,,,8859104500037.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petosan 10L Cat Litter Apple,8859104500044,code128,,Shampoo,pcs,pcs,pcs,5.2,8.5,,,,8859104500044.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petosan Cat Litter Orange,8859104500174,code128,,Shampoo,pcs,pcs,pcs,2.6,4.85,,,,8859104500174.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petosan 10L Cat Litter Orange,8859104500181,code128,,Shampoo,pcs,pcs,pcs,5.2,8.5,,,,8859104500181.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petosan Cat Litter Coffee,8859104500266,code128,,Shampoo,pcs,pcs,pcs,2.6,4.85,,,,8859104500266.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petosan 10L Cat Litter Coffee,8859104500273,code128,,Shampoo,pcs,pcs,pcs,5.2,8.5,,,,8859104500273.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petosan Cat Litter Blackcurrant ,8859104500310,code128,,Shampoo,pcs,pcs,pcs,2.6,4.85,,,,8859104500310.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petosan Cat Litter Sakura,8859104500341,code128,,Shampoo,pcs,pcs,pcs,2.6,4.85,,,,8859104500341.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petosan 10L Cat Litter Sakura,8859104500358,code128,,Shampoo,pcs,pcs,pcs,5.2,8.5,,,,8859104500358.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petosan Cat Litter Extreme,8859104500365,code128,,Shampoo,pcs,pcs,pcs,2.6,4.85,,,,8859104500365.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petosan 10L Cat Litter Extreme,8859104500372,code128,,Shampoo,pcs,pcs,pcs,5.2,8.5,,,,8859104500372.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petosan 10 L Cat Litter Blackcurrant,8859104500389,code128,,Shampoo,pcs,pcs,pcs,5.2,8.5,,,,8859104500389.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton Bud S,8859130299961,code128,,Daily Used,pcs,pcs,pcs,0.68,3,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton Bud M,8859130299962,code128,,Daily Used,pcs,pcs,pcs,0.7,3,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton Bud L,8859130299963,code128,,Daily Used,pcs,pcs,pcs,0.72,3,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nekko បបរឆ្មារ Tuna in Jelly,8859160400098,code128,,Food,pcs,pcs,pcs,0.42,0.7,,,,8859160400098.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nekko បបរឆ្មារ Tuna Sasami ,8859160400104,code128,,Food,pcs,pcs,pcs,0.4,0.7,,,,8859160400104.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nekko បបរឆ្មារ Kanikama,8859160400111,code128,,Food,pcs,pcs,pcs,0.42,0.7,,,,8859160400111.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nekko បបរឆ្មារ Katsuobushi ,8859160400128,code128,,Food,pcs,pcs,pcs,0.42,0.7,,,,8859160400128.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toro Creamy Green,8859160400272,code128,,Food,pcs,pcs,pcs,1,2,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nekko Tuna Cheese,8859160400319,code128,,Food,pcs,pcs,pcs,0.42,0.7,,,,8859160400319.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nekko Tuna Seaweed,8859160400326,code128,,Food,pcs,pcs,pcs,0.42,0.7,,,,8859160400326.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nekko Tuna Shirasu,8859160400333,code128,,Food,pcs,pcs,pcs,0.42,0.7,,,,8859160400333.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nekko បបរឆ្មារ Shrimp Scallop in Jelly ,8859160400340,code128,,Food,pcs,pcs,pcs,0.42,0.7,,,,8859160400340.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nekko Kitten បបរឆ្មារ Chicken Mousse,8859160400432,code128,,Food,pcs,pcs,pcs,0.42,0.7,,,,8859160400432.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nekko Kitten បបរឆ្មារ Tuna Mousse,8859160400449,code128,,Food,pcs,pcs,pcs,0.42,0.7,,,,8859160400449.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Hong សាច់កំប៉ុង Beef and Liver,8859160400531,code128,,Food,pcs,pcs,pcs,0.88,1.4,,,,8859160400531.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Hong សាច់កំប៉ុង Chucky Beef in Gravy ,8859160400555,code128,,Food,pcs,pcs,pcs,0.88,1.4,,,,8859160400555.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Hong សាច់កំប៉ុង Lamb,8859160400562,code128,,Food,pcs,pcs,pcs,0.88,1.4,,,,8859160400562.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meow Meow ត្រីកំប៉ុង,8859160400579,code128,,Food,pcs,pcs,pcs,0.87,1.4,,,,8859160400579.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meow Meow ត្រីកំប៉ុង,8859160400586,code128,,Food,pcs,pcs,pcs,0.87,1.4,,,,8859160400586.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nekko បបរឆ្មារ Shrimp Scallop in Gravy,8859160400791,code128,,Food,pcs,pcs,pcs,0.41,0.7,,,,8859160400791.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nekko បបរឆ្មារ Salmon in Gravy,8859160400814,code128,,Food,pcs,pcs,pcs,0.42,0.7,,,,8859160400814.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toro Creamy Purple,8859160400920,code128,,Food,pcs,pcs,pcs,1,2,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nekko Kitten បបរឆ្មារ Tuna Mousse with Goat Milk,8859160400975,code128,,Food,pcs,pcs,pcs,0.47,0.7,,,,8859160400975.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nekko Kitten បបរឆ្មារ Tuna Mousse with Salmon,8859160400982,code128,,Food,pcs,pcs,pcs,0.42,0.7,,,,8859160400982.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toro Creamy Tuna Tuna Plus Fiber,8859160401019,code128,,Food,pcs,pcs,pcs,4.3,7,,,,8859160401019.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toro Creamy Tuna and Katsuobushi,8859160401026,code128,,Food,pcs,pcs,pcs,4.3,7,,,,8859160401026.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toro Creamy Tuna and Salmon,8859160401033,code128,,Food,pcs,pcs,pcs,4.3,7,,,,8859160401033.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meow Meow Pouch Tuna,8859160401057,code128,,Food,pcs,pcs,pcs,0.3,0.6,,,,8859160401057.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meow Meow Pouch Tuna Chicken,8859160401064,code128,,Food,pcs,pcs,pcs,0.3,0.6,,,,8859160401064.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meow Meow Pouch Mackerel,8859160401071,code128,,Food,pcs,pcs,pcs,0.3,0.6,,,,8859160401071.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meow Meow Pouch Ocean Fish,8859160401088,code128,,Food,pcs,pcs,pcs,0.3,0.6,,,,8859160401088.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meow Meow Orange ត្រីកំប៉ុង,8859160401231,code128,,Food,pcs,pcs,pcs,0.87,1.4,,,,8859160401231.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meow Meow Green ត្រីកំប៉ុង,8859160401248,code128,,Food,pcs,pcs,pcs,0.87,1.4,,,,8859160401248.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meow Meow Red ត្រីកំប៉ុង,8859160401255,code128,,Food,pcs,pcs,pcs,0.87,1.4,,,,8859160401255.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meow Meow Purple ត្រីកំប៉ុង,8859160401262,code128,,Food,pcs,pcs,pcs,0.87,1.4,,,,8859160401262.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
