"Product Code","Product Name",Variant,Expected,Counted
4901133718724,"Ciao Churutto Red",,0.0000,
4901133718731,"Ciao Churutto Stick",,0.0000,
4901133718748,"Ciao Churutto Blue",,0.0000,
4901133815171,"Ciao Cup Jelly Blue",,0.0000,
4901133815188,"Ciao Cup Jelly Orange",,6.0000,
4901133815195,"Ciao Cup Jelly Blue",,6.0000,
4901133815201,"Ciao Cup Jelly Pink",,6.0000,
4901133821240,"Inaba Jelly Stick Orange",,5.0000,
4901133821257,"Inaba Jelly Stick Pink",,5.0000,
4901133821264,"Inaba Jelly Stick Green",,5.0000,
4901133821271,"Inaba Jelly Stick Blue",,4.0000,
4901133863103,"Ciao Cup Gravy Red",,6.0000,
4901133863110,"Ciao Cup Gravy Blue",,6.0000,
4901133863127,"Ciao Cup Gravy Green",,6.0000,
4901133863134,"Ciao Cup Gravy Yellow",,6.0000,
4902397811138,"Cesar សាច់កំប៉ុង កូនឆ្កែ Puppy",,0.0000,
5010394984577,"Pedigree Denta Stix S",,0.0000,
5010394984584,"Pedigree Denta Stix M",,7.0000,
55500050,ចំណីកាំប្រម៉ា,,10.0000,
55500051,"Pet Heng Hamster Fruit Food",,10.0000,
55500052,"Pet Heng Sugar Glider Food",,17.0000,
5998749109113,"Pedigree Denta Stix L",,0.0000,
6922192903553,"បបរគ្រីមរសជាតិបន្លែ ល្ហុង",,100.0000,
6922192903560,"បបរគ្រីមរសជាតិបន្លែ ការ៉ុត",,99.0000,
6922192903577,"បបរគ្រីមរសជាតិបន្លែ  ដំឡូង",,199.0000,
6922192903584,"បបរគ្រីមរសជាតិបន្លែ ល្ពៅ",,0.0000,
6922192914412,"នំគ្រាម Hamster Strawberry",,0.0000,
6922192932317,"នំគ្រាម Hamster ការ៉ុត",,0.0000,
6922192944143,"ពោតគ្រាម Corn Hamster",,80.0000,
6922192949728,"Worm Hamster",,79.0000,
6922192968880,"Lollipops Hamster",,19.0000,
6922192974881,"នំអង្គាមរូបបាតជើង Hamster",,0.0000,
6922192983920,"Vegetable Hamster",,10.0000,
6922192986396,"ឈីស Cheese Hamster",,7.0000,
6935296402891,"Ciao 4 Cat Biscuit Purple",,0.0000,
6935296402907,"Ciao 2 Cat Biscuit Blue",,0.0000,
6935296402914,"Ciao 1 Cat Biscuit Yellow",,0.0000,
6935296402921,"Ciao 3 Cat Biscuit Pink",,0.0000,
6935296402938,"Ciao 5 Cat Biscuit Orange",,0.0000,
6935296403232,"Ciao 4 Cat Poridge Red",,0.0000,
6935296404420,"Ciao 3 Cat Poridge Purple",,0.0000,
6935296404437,"Ciao 2 Cat Poridge Pink",,0.0000,
6935296404796,"Ciao 1 Cat Poridge Yellow",,0.0000,
6935296418656,"Ciao បៃតង នំស្នូលគ្រីមសាច់មាន់លាយត្រីសមុទ្រ",,0.0000,
6935296497187,"Ciao ក្រហម បបរវីតាមីន ត្រីសមុទ្រ",,0.0000,
6935296497194,"Ciao ខៀវ បបរវីតាមីន ត្រីសមុទ្រ និងខ្យង",,0.0000,
6935296497200,"Ciao លឿង បបរវីតាមីន សាច់មាន់",,0.0000,
6935296498016,"Ciao ផ្កាឈូក ត្រីសមុទ្រ",,0.0000,
6935296498030,"Ciao ខៀវ ត្រីសមុទ្រ",,0.0000,
6935296498825,"Ciao លឿង នំស្នូលគ្រីមសាច់មាន់",,0.0000,
6935296498993,"Ciao លឿង សាច់មាន់",,0.0000,
6941903107936,កំប៉ុងដាំស្មៅឆ្មារ,,16.0000,
6948024003734,"Yaho Bone L Beef",,0.0000,
6948024003741,"Yaho Bone L Chicken",,0.0000,
6948024003765,"Yaho Bone M Beef",,0.0000,
6948024003772,"Yaho Bone M Chicken",,0.0000,
6948024003871,"Yaho Bone S Beef",,74.0000,
6948024003888,"Yaho Bone S Chicken",,73.0000,
6948024005639,"Yaho Bone L Beef",,35.0000,
6948024006650,"YaHo Bone Pack",,11.0000,
6951392556313,"ដើមជីឆ្មារ Catnip",,0.0000,
6954547202905,"Orgo នំរាងច្រាស់ ទឹកដោះគោ Brush Chew-Milk",,0.0000,
6954547202912,"Orgo នំរាងច្រាស់សាច់គោ Brush Chew-Beef",,0.0000,
6957919907040,"Orgo Dog Biscuits Round 125g",,22.0000,
6957919907903,"Orgo Dog Biscuits Bone 235g",,23.0000,
6957919911894,"ដើមអង្គាមម៉ាក សាច់គោ Vegebrand",,0.0000,
6957919911900,"ដើមអង្គាមម៉ាក សាច់មាន់ Vegebrand",,0.0000,
6957919911917,"ដើមអង្គាមម៉ាក ទឹកដោះគោ Vegebrand",,0.0000,
6971006301856,"Korean 21-Dr Dingo Wagyu Beef Jerky",,0.0000,
6971006302891,"Korean 22-Beef Liver Jerky",,0.0000,
6971006302914,"Korean 24-Milk Calcium Cookie",,0.0000,
6971006302969,"Korean 23-Dr Dingo Egg Yolk Skewer",,0.0000,
6972060282150,"នំច្រាស់ Milk",,0.0000,
6980777911645,"ជីឆ្មារ​ 40ml Catnip",,3.0000,
70001,"UK 7-10cm Chicken Beef Skin Bone",,0.0000,
70002,"UK 8-Fish Beef Donut",,0.0000,
70003,"UK 9-Fish Chicken Roll Stick",,0.0000,
70004,"UK 10-Chicken Beef Skin Pack",,0.0000,
70005,"UK 12-Chicken Beef Skin Shoes",,0.0000,
70006,"Korean 1.Cod Fish&Beef Jerky",,0.0000,
70007,"Korean 2.Chicken&Beef Stick",,0.0000,
70008,"Korean 3.Pure Chicken Chunk",,0.0000,
70009,"Korean 4.Fish&Beef Wrap",,0.0000,
