Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Details,Invoice Details,Supplier Name,Supplier Part No,Supplier Price,Supplier 2 Name,Supplier 2 Part No,Supplier 2 Price,Supplier 3 Name,Supplier 3 Part No,Supplier 3 Price,Supplier 4 Name,Supplier 4 Part No,Supplier 4 Price,Supplier 5 Name,Supplier 5 Part No,Supplier 5 Price
Purple ប្រឡៅកមានខ្សែបណ្តើរ ,1203021029,code128,,Collar,pcs,pcs,pcs,1.3,3.5,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black ប្រឡៅកមានខ្សែបណ្តើរ ,1203101540,code128,,Collar,pcs,pcs,pcs,1.3,3.5,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown ប្រឡៅកមានខ្សែបណ្តើរ ,1203101553,code128,,Collar,pcs,pcs,pcs,1.3,3.5,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green ប្រឡៅកមានខ្សែបណ្តើរ ,1203101554,code128,,Collar,pcs,pcs,pcs,1.3,3.5,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Cat Royal Canin,12345,code128,,Food,pcs,pcs,pcs,0,0,,,,12345.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Dog Royal Canin,123455,code128,,Food,pcs,pcs,pcs,0,0,,,,123455.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
ឆ្អឹង Daddy Dog 30cm,14121000,code128,,Food,pcs,pcs,pcs,5.93,8.5,,,,14121000.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
ឆ្អឹង Daddy Dog 10cm,1441000,code128,,Food,pcs,pcs,pcs,6.2,8.5,,,,1441000.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
ឆ្អឹង Daddy Dog 20cm,1481000,code128,,Food,pcs,pcs,pcs,6.2,8.5,,,,1481000.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
ប្រឡៅតុក្កតាកណ្តឹងតូច,150150,code128,,Collar,pcs,pcs,pcs,0.7,1.5,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daddy Dog ឆ្អឹងស្បែកគោ 10cm,1541000,code128,,Food,pcs,pcs,pcs,5.34,7.5,,,,1541000.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daddy Dog ឆ្អឹងស្បែកគោ 15cm,1561000,code128,,Food,pcs,pcs,pcs,5.34,7.5,,,,1561000.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ma Mah Herb Shampoo,1564426354916,code128,,Shampoo,pcs,pcs,pcs,4.2,6,,,,1564426354916.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6mm ប្រឡៅច្រវ៉ាក់,181201,code128,,Collar,pcs,pcs,pcs,0.34,2,,,,181201.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2mm ប្រឡៅច្រវ៉ាក់,181202,code128,,Collar,pcs,pcs,pcs,0.42,2.5,,,,181202.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
3mm ប្រឡៅច្រវ៉ាក់,181203,code128,,Collar,pcs,pcs,pcs,0.54,3,,,,181203.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
4mm ប្រឡៅច្រវ៉ាក់,181204,code128,,Collar,pcs,pcs,pcs,0.8,3,,,,181204.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juicy Bite Yellow,18859387701173,code128,,Food,pcs,pcs,pcs,0.38,0.75,,,,18859387701173.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juicy Bite Blue,18859387701180,code128,,Food,pcs,pcs,pcs,0.38,0.75,,,,18859387701180.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juicy Bite Purple,18859387701197,code128,,Food,pcs,pcs,pcs,0.37,0.75,,,,18859387701197.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juicy Bite Green,18859387701203,code128,,Food,pcs,pcs,pcs,0.37,0.75,,,,18859387701203.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-អាវលឿង Cute Baby,2011SXSL5932HX14,code128,,Cloth,pcs,pcs,pcs,1.7,3,,,,2011SXSL5932HX14.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
L- កាបូបស្បែកស្ពាយកូន Pink 3-4kg,2012000001,code128,,Daily Used,pcs,pcs,pcs,5.4,9,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
L- កាបូបស្បែកស្ពាយកូន Grey 3-4kg,2012000003,code128,,Daily Used,pcs,pcs,pcs,5.4,9,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
L- កាបូបស្បែកស្ពាយកូន Yellow 3-4kg,2012000004,code128,,Daily Used,pcs,pcs,pcs,5.4,9,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
M- កាបូបស្បែកស្ពាយកូន Pink 2-3kg,2013000001,code128,,Daily Used,pcs,pcs,pcs,5.1,8,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
M- កាបូបស្បែកស្ពាយកូន Grey 2-3kg,2013000003,code128,,Daily Used,pcs,pcs,pcs,5.1,8,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
M- កាបូបស្បែកស្ពាយកូន Yellow 2-3kg,2013000004,code128,,Daily Used,pcs,pcs,pcs,5.1,8,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
S- កាបូបស្បែកស្ពាយកូន Pink 0.5-1.5kg,2019000001,code128,,Daily Used,pcs,pcs,pcs,4.8,8,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
S- កាបូបស្បែកស្ពាយកូន Grey 0.5-1.5kg,2019000003,code128,,Daily Used,pcs,pcs,pcs,4.8,8,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
S- កាបូបស្បែកស្ពាយកូន Yellow 0.5-1.5kg,2019000004,code128,,Daily Used,pcs,pcs,pcs,4.8,8,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
អាវមានកាបូបម្នាស់-S Pineapple Bag Shirt,2103SXSL6175LB10,code128,,Cloth,pcs,pcs,pcs,1,3,,,,2103SXSL6175LB10.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
អាវមានកាបូបម្នាស់-M Pineapple Bag Shirt,2103SXSL6175LB12,code128,,Cloth,pcs,pcs,pcs,1,3,,,,2103SXSL6175LB12.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
អាវមានកាបូបម្នាស់-L Pineapple Bag Shirt,2103SXSL6175LB14,code128,,Cloth,pcs,pcs,pcs,1,3,,,,2103SXSL6175LB14.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
អាវមានកាបូបម្នាស់-XL Pineapple Bag Shirt,2103SXSL6175LB16,code128,,Cloth,pcs,pcs,pcs,1,3,,,,2103SXSL6175LB16.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
អាវមានកាបូបម្នាស់-2XL Pineapple Bag Shirt,2103SXSL6175LB18,code128,,Cloth,pcs,pcs,pcs,1,3,,,,2103SXSL6175LB18.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
អាវដៃត្រចៀកកណ្តុរ-S Petal Sleeve Shirt,2104CGLK1421BA10,code128,,Cloth,pcs,pcs,pcs,1.1,3,,,,2104CGLK1421BA10.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
អាវដៃត្រចៀកកណ្តុរ-M Petal Sleeve Shirt,2104CGLK1421BA12,code128,,Cloth,pcs,pcs,pcs,1.1,3,,,,2104CGLK1421BA12.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
អាវដៃត្រចៀកកណ្តុរ-L Petal Sleeve Shirt,2104CGLK1421BA14,code128,,Cloth,pcs,pcs,pcs,1.1,3,,,,2104CGLK1421BA14.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
អាវដៃត្រចៀកកណ្តុរ-XL Petal Sleeve Shirt,2104CGLK1421BA16,code128,,Cloth,pcs,pcs,pcs,1.1,3,,,,2104CGLK1421BA16.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dog Chews 5cm Bone,211101,code128,,Food,pcs,pcs,pcs,1,2,,,,211101.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dog Chews 10cm Bone,211103,code128,,Food,pcs,pcs,pcs,1.2,2,,,,211103.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dog Chews 21cm Bone,211107,code128,,Food,pcs,pcs,pcs,1.2,2,,,,211107.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
ប្រឡៅផ្កាជ័រ,22222,code128,,Collar,pcs,pcs,pcs,0.6,1.5,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
XL- កាបូបស្បែកស្ពាយកូន Pink 4-8kg,2241200001,code128,,Daily Used,pcs,pcs,pcs,6,9,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
XL- កាបូបស្បែកស្ពាយកូន Grey 4-8kg,2241200003,code128,,Daily Used,pcs,pcs,pcs,6,9,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
XL- កាបូបស្បែកស្ពាយកូន Yellow 4-8kg,2241200004,code128,,Daily Used,pcs,pcs,pcs,6,9,,,,no_image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
ក្រាស់ឆ្មារអេសរមាស់ Cat It ,2251750035,code128,,Toy,pcs,pcs,pcs,1,3.5,,,,2251750035.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cat Fit 2 kg Royal Canine ,3182250702201,code128,,Food,pcs,pcs,pcs,17.14,17.5,,,,3182250702201.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cat Gastrointestinal 2 kg Royal Canine ,3182250771252,code128,,Food,pcs,pcs,pcs,25.47,27,,,,3182250771252.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxi Puppy 4Kg Royal Canin,3182550402149,code128,,Food,pcs,pcs,pcs,30.37,32,,,,3182550402149.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxi Adult 4Kg Royal Canin,3182550402224,code128,,Food,pcs,pcs,pcs,26.29,27.5,,,,3182550402224.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin Medium Puppy 1kg,3182550402439,code128,,Food,pcs,pcs,pcs,7.3,9,,,,3182550402439.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
