Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Details,Invoice Details,Supplier Name,Supplier Part No,Supplier Price,Supplier 2 Name,Supplier 2 Part No,Supplier 2 Price,Supplier 3 Name,Supplier 3 Part No,Supplier 3 Price,Supplier 4 Name,Supplier 4 Part No,Supplier 4 Price,Supplier 5 Name,Supplier 5 Part No,Supplier 5 Price
XL-អាវស្វាយមានមួក,6931931172303,code128,,Cloth,pcs,pcs,pcs,2.22,4,,,,6931931172303.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2XL-អាវស្វាយមានមួក,6931931172310,code128,,Cloth,pcs,pcs,pcs,2.22,4,,,,6931931172310.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
3XL-រ៉ូបផ្កាឈូក,6931931172686,code128,,Cloth,pcs,pcs,pcs,2.15,5,,,,6931931172686.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
4XL-រ៉ូបផ្កាឈូក,6931931172693,code128,,Cloth,pcs,pcs,pcs,2.15,5,,,,6931931172693.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
5XL-រ៉ូបផ្កាឈូក,6931931172709,code128,,Cloth,pcs,pcs,pcs,2.15,5,,,,6931931172709.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
6XL-រ៉ូបផ្កាឈូក,6931931172716,code128,,Cloth,pcs,pcs,pcs,2.15,5,,,,6931931172716.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
7XL-រ៉ូបផ្កាឈូក,6931931172723,code128,,Cloth,pcs,pcs,pcs,2.15,5,,,,6931931172723.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
8XL-រ៉ូបផ្កាឈូក,6931931172730,code128,,Cloth,pcs,pcs,pcs,2.15,5,,,,6931931172730.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
3XL-រ៉ូបបៃតង,6931931172747,code128,,Cloth,pcs,pcs,pcs,3.15,5,,,,6931931172747.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
4XL-រ៉ូបបៃតង,6931931172754,code128,,Cloth,pcs,pcs,pcs,3.15,5,,,,6931931172754.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
5XL-រ៉ូបបៃតង,6931931172761,code128,,Cloth,pcs,pcs,pcs,3.15,5,,,,6931931172761.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
