Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Details,Invoice Details,Supplier Name,Supplier Part No,Supplier Price,Supplier 2 Name,Supplier 2 Part No,Supplier 2 Price,Supplier 3 Name,Supplier 3 Part No,Supplier 3 Price,Supplier 4 Name,Supplier 4 Part No,Supplier 4 Price,Supplier 5 Name,Supplier 5 Part No,Supplier 5 Price
SOS 4L Brown Hair,6925677033271,code129,,Shampoo,pcs,pcs,,15,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOS 4L Green,6925677033257,code129,,Shampoo,pcs,pcs,,15,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOS 4L White Hair,6925677033264,code129,,Shampoo,pcs,pcs,,15,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOS 4L Pink,6925677033288,code129,,Shampoo,pcs,pcs,,15,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaho Bone Pack Yellow,6948024005042,code129,,Food,pcs,pcs,,1.48,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dog Chew 5cm Blue,71710,code129,,Food,pcs,pcs,,0.9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dog Chew 9cm Blue,71711,code129,,Food,pcs,pcs,,0.9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
